Price,County,Size,Elevation,Sewer,Date ,Flood,Distance
4.5,1,138.4,10,3000,-103,0,0.3
10.6,1,52.0,4,0,-103,0,2.5
1.7,0,16.1,0,2640,-98,1,10.3
5.0,0,1695.2,1,3500,-93,0,14.0
5.0,0,845.0,1,1000,-92,1,14.0
3.3,1,6.9,2,10000,-86,0,0.0
5.7,1,105.9,4,0,-68,0,0.0
6.2,1,56.6,4,0,-64,0,0.0
19.4,1,51.4,20,1300,-63,0,1.2
3.2,1,22.1,0,6000,-62,0,0.0
4.7,1,22.1,0,6000,-61,0,0.0
6.9,1,27.7,3,4500,-60,0,0.0
8.1,1,18.6,5,5000,-59,0,0.5
11.6,1,69.9,8,0,-59,0,4.4
19.3,1,145.7,10,0,-59,0,4.2
11.7,1,77.2,9,0,-59,0,4.5
13.3,1,26.2,8,0,-59,0,4.7
15.1,1,102.3,6,0,-59,0,4.9
12.4,1,49.5,11,0,-59,0,4.6
15.3,1,12.2,8,0,-59,0,5.0
12.2,0,320.6,0,4000,-54,0,16.5
18.1,1,9.9,5,0,-54,0,5.2
16.8,1,15.3,2,0,-53,0,5.5
5.9,0,55.2,0,1320,-49,1,11.9
4.0,0,116.2,2,900,-45,1,5.5
37.2,0,15.0,5,0,-39,0,7.2
18.2,0,23.4,5,4420,-39,0,5.5
15.1,0,132.8,2,2640,-35,0,10.2
22.9,0,12.0,5,3400,-16,0,5.5
15.2,0,67.0,2,900,-5,1,5.5
21.9,0,30.8,2,900,-4,0,5.5